Entity,Code,Year,Palm fruit oil | 00000254 || Area harvested | 005312 || hectares
Africa,,1961,3444970
Africa,,1962,3237470
Africa,,1963,3325700
Africa,,1964,3333700
Africa,,1965,3394650
Africa,,1966,3286350
Africa,,1967,2827170
Africa,,1968,2886250
Africa,,1969,2989650
Africa,,1970,2931900
Africa,,1971,2933050
Africa,,1972,2776410
Africa,,1973,2786658
Africa,,1974,2964202
Africa,,1975,2918437
Africa,,1976,2903133
Africa,,1977,2948657
Africa,,1978,2812362
Africa,,1979,3150373
Africa,,1980,3145234
Africa,,1981,2841171
Africa,,1982,2856176
Africa,,1983,2746172
Africa,,1984,3043621
Africa,,1985,3015208
Africa,,1986,3046353
Africa,,1987,3129142
Africa,,1988,3110078
Africa,,1989,3159323
Africa,,1990,3222002
Africa,,1991,3394830
Africa,,1992,3528345
Africa,,1993,3683773
Africa,,1994,3741006
Africa,,1995,3941291
Africa,,1996,3977150
Africa,,1997,3967387
Africa,,1998,3977305
Africa,,1999,4030819
Africa,,2000,4115624
Africa,,2001,4217847
Africa,,2002,4224024
Africa,,2003,4397062
Africa,,2004,4533183
Africa,,2005,4585128
Africa,,2006,4354390
Africa,,2007,4389610
Africa,,2008,4503903
Africa,,2009,4578500
Africa,,2010,4615674
Africa,,2011,4622571
Africa,,2012,4770118
Africa,,2013,4522475
Africa,,2014,4678159
Africa,,2015,4816047
Africa,,2016,4975151
Africa,,2017,5283459
Africa,,2018,5495334
Africa,,2019,5606359
Africa,,2020,5753196
Africa,,2021,6760235
Africa,,2022,6822583
Africa (FAO),,1961,3444970
Africa (FAO),,1962,3237470
Africa (FAO),,1963,3325700
Africa (FAO),,1964,3333700
Africa (FAO),,1965,3394650
Africa (FAO),,1966,3286350
Africa (FAO),,1967,2827170
Africa (FAO),,1968,2886250
Africa (FAO),,1969,2989650
Africa (FAO),,1970,2931900
Africa (FAO),,1971,2933050
Africa (FAO),,1972,2776410
Africa (FAO),,1973,2786658
Africa (FAO),,1974,2964202
Africa (FAO),,1975,2918437
Africa (FAO),,1976,2903133
Africa (FAO),,1977,2948657
Africa (FAO),,1978,2812362
Africa (FAO),,1979,3150373
Africa (FAO),,1980,3145234
Africa (FAO),,1981,2841171
Africa (FAO),,1982,2856176
Africa (FAO),,1983,2746172
Africa (FAO),,1984,3043621
Africa (FAO),,1985,3015208
Africa (FAO),,1986,3046353
Africa (FAO),,1987,3129142
Africa (FAO),,1988,3110078
Africa (FAO),,1989,3159323
Africa (FAO),,1990,3222002
Africa (FAO),,1991,3394830
Africa (FAO),,1992,3528345
Africa (FAO),,1993,3683773
Africa (FAO),,1994,3741006
Africa (FAO),,1995,3941291
Africa (FAO),,1996,3977150
Africa (FAO),,1997,3967387
Africa (FAO),,1998,3977305
Africa (FAO),,1999,4030819
Africa (FAO),,2000,4115624
Africa (FAO),,2001,4217847
Africa (FAO),,2002,4224024
Africa (FAO),,2003,4397062
Africa (FAO),,2004,4533183
Africa (FAO),,2005,4585128
Africa (FAO),,2006,4354390
Africa (FAO),,2007,4389610
Africa (FAO),,2008,4503903
Africa (FAO),,2009,4578500
Africa (FAO),,2010,4615674
Africa (FAO),,2011,4622571
Africa (FAO),,2012,4770118
Africa (FAO),,2013,4522475
Africa (FAO),,2014,4678157
Africa (FAO),,2015,4816046
Africa (FAO),,2016,4975153
Africa (FAO),,2017,5283456
Africa (FAO),,2018,5495335
Africa (FAO),,2019,5606360
Africa (FAO),,2020,5753196
Africa (FAO),,2021,6760233
Africa (FAO),,2022,6822584
Americas (FAO),,1961,61610
Americas (FAO),,1962,67612
Americas (FAO),,1963,66702
Americas (FAO),,1964,73070
Americas (FAO),,1965,82580
Americas (FAO),,1966,83615
Americas (FAO),,1967,90020
Americas (FAO),,1968,108619
Americas (FAO),,1969,89022
Americas (FAO),,1970,79067
Americas (FAO),,1971,97139
Americas (FAO),,1972,94052
Americas (FAO),,1973,89228
Americas (FAO),,1974,85258
Americas (FAO),,1975,75351
Americas (FAO),,1976,86013
Americas (FAO),,1977,90452
Americas (FAO),,1978,99252
Americas (FAO),,1979,106514
Americas (FAO),,1980,118535
Americas (FAO),,1981,117782
Americas (FAO),,1982,138384
Americas (FAO),,1983,136610
Americas (FAO),,1984,152642
Americas (FAO),,1985,165707
Americas (FAO),,1986,190722
Americas (FAO),,1987,197377
Americas (FAO),,1988,216080
Americas (FAO),,1989,240499
Americas (FAO),,1990,271103
Americas (FAO),,1991,320038
Americas (FAO),,1992,364268
Americas (FAO),,1993,357323
Americas (FAO),,1994,386013
Americas (FAO),,1995,395633
Americas (FAO),,1996,415439
Americas (FAO),,1997,435592
Americas (FAO),,1998,445140
Americas (FAO),,1999,457719
Americas (FAO),,2000,503507
Americas (FAO),,2001,546045
Americas (FAO),,2002,532985
Americas (FAO),,2003,546668
Americas (FAO),,2004,601598
Americas (FAO),,2005,646544
Americas (FAO),,2006,678914
Americas (FAO),,2007,704454
Americas (FAO),,2008,730679
Americas (FAO),,2009,797695
Americas (FAO),,2010,851795
Americas (FAO),,2011,929485
Americas (FAO),,2012,968074
Americas (FAO),,2013,1071661
Americas (FAO),,2014,1197946
Americas (FAO),,2015,1333012
Americas (FAO),,2016,1322517
Americas (FAO),,2017,1491916
Americas (FAO),,2018,1570175
Americas (FAO),,2019,1634492
Americas (FAO),,2020,1675759
Americas (FAO),,2021,1702922
Americas (FAO),,2022,1700706
Angola,AGO,1961,22000
Angola,AGO,1962,22000
Angola,AGO,1963,21000
Angola,AGO,1964,22000
Angola,AGO,1965,18000
Angola,AGO,1966,19000
Angola,AGO,1967,20000
Angola,AGO,1968,20000
Angola,AGO,1969,23000
Angola,AGO,1970,21000
Angola,AGO,1971,21000
Angola,AGO,1972,21000
Angola,AGO,1973,21000
Angola,AGO,1974,21000
Angola,AGO,1975,21000
Angola,AGO,1976,19000
Angola,AGO,1977,18000
Angola,AGO,1978,20000
Angola,AGO,1979,20000
Angola,AGO,1980,20000
Angola,AGO,1981,19000
Angola,AGO,1982,19000
Angola,AGO,1983,20000
Angola,AGO,1984,19000
Angola,AGO,1985,18000
Angola,AGO,1986,19000
Angola,AGO,1987,20000
Angola,AGO,1988,20000
Angola,AGO,1989,21000
Angola,AGO,1990,21000
Angola,AGO,1991,21500
Angola,AGO,1992,21500
Angola,AGO,1993,21500
Angola,AGO,1994,21500
Angola,AGO,1995,22000
Angola,AGO,1996,22400
Angola,AGO,1997,22000
Angola,AGO,1998,22400
Angola,AGO,1999,22500
Angola,AGO,2000,23000
Angola,AGO,2001,23000
Angola,AGO,2002,23000
Angola,AGO,2003,23000
Angola,AGO,2004,23000
Angola,AGO,2005,23000
Angola,AGO,2006,23000
Angola,AGO,2007,23000
Angola,AGO,2008,23000
Angola,AGO,2009,23000
Angola,AGO,2010,23000
Angola,AGO,2011,23000
Angola,AGO,2012,23000
Angola,AGO,2013,23000
Angola,AGO,2014,23067
Angola,AGO,2015,23141
Angola,AGO,2016,23166
Angola,AGO,2017,23164
Angola,AGO,2018,23141
Angola,AGO,2019,23160
Angola,AGO,2020,23302
Angola,AGO,2021,23235
Angola,AGO,2022,23259
Asia,,1961,114402
Asia,,1962,117275
Asia,,1963,125173
Asia,,1964,134000
Asia,,1965,140100
Asia,,1966,153650
Asia,,1967,164750
Asia,,1968,190350
Asia,,1969,216950
Asia,,1970,251950
Asia,,1971,281350
Asia,,1972,338750
Asia,,1973,384000
Asia,,1974,445500
Asia,,1975,538166
Asia,,1976,593449
Asia,,1977,671246
Asia,,1978,794203
Asia,,1979,883915
Asia,,1980,998724
Asia,,1981,1099747
Asia,,1982,1168071
Asia,,1983,1313151
Asia,,1984,1431031
Asia,,1985,1675688
Asia,,1986,1864660
Asia,,1987,1929405
Asia,,1988,2212179
Asia,,1989,2411976
Asia,,1990,2571087
Asia,,1991,3037467
Asia,,1992,3246780
Asia,,1993,3429516
Asia,,1994,3664324
Asia,,1995,3951700
Asia,,1996,4356769
Asia,,1997,4762328
Asia,,1998,5148957
Asia,,1999,5446911
Asia,,2000,5695042
Asia,,2001,6018216
Asia,,2002,6803627
Asia,,2003,7211155
Asia,,2004,7587166
Asia,,2005,8151594
Asia,,2006,8745167
Asia,,2007,9389576
Asia,,2008,10029925
Asia,,2009,10676511
Asia,,2010,13886769
Asia,,2011,14674824
Asia,,2012,15357855
Asia,,2013,16416539
Asia,,2014,15917887
Asia,,2015,16389068
Asia,,2016,16966295
Asia,,2017,20094074
Asia,,2018,20519634
Asia,,2019,20733872
Asia,,2020,20918592
Asia,,2021,20897866
Asia,,2022,21229440
Asia (FAO),,1961,114402
Asia (FAO),,1962,117275
Asia (FAO),,1963,125173
Asia (FAO),,1964,134000
Asia (FAO),,1965,140100
Asia (FAO),,1966,153650
Asia (FAO),,1967,164750
Asia (FAO),,1968,190350
Asia (FAO),,1969,216950
Asia (FAO),,1970,251950
Asia (FAO),,1971,281350
Asia (FAO),,1972,338750
Asia (FAO),,1973,384000
Asia (FAO),,1974,445500
Asia (FAO),,1975,538166
Asia (FAO),,1976,593449
Asia (FAO),,1977,671246
Asia (FAO),,1978,794203
Asia (FAO),,1979,883915
Asia (FAO),,1980,998724
Asia (FAO),,1981,1099747
Asia (FAO),,1982,1168071
Asia (FAO),,1983,1313151
Asia (FAO),,1984,1431031
Asia (FAO),,1985,1675688
Asia (FAO),,1986,1864660
Asia (FAO),,1987,1929405
Asia (FAO),,1988,2212179
Asia (FAO),,1989,2411976
Asia (FAO),,1990,2571087
Asia (FAO),,1991,3037467
Asia (FAO),,1992,3246780
Asia (FAO),,1993,3429516
Asia (FAO),,1994,3664324
Asia (FAO),,1995,3951700
Asia (FAO),,1996,4356769
Asia (FAO),,1997,4762328
Asia (FAO),,1998,5148957
Asia (FAO),,1999,5446911
Asia (FAO),,2000,5695042
Asia (FAO),,2001,6018216
Asia (FAO),,2002,6803627
Asia (FAO),,2003,7211155
Asia (FAO),,2004,7587166
Asia (FAO),,2005,8151594
Asia (FAO),,2006,8745167
Asia (FAO),,2007,9389576
Asia (FAO),,2008,10029925
Asia (FAO),,2009,10676511
Asia (FAO),,2010,13886769
Asia (FAO),,2011,14674824
Asia (FAO),,2012,15357855
Asia (FAO),,2013,16416539
Asia (FAO),,2014,15917887
Asia (FAO),,2015,16389068
Asia (FAO),,2016,16966296
Asia (FAO),,2017,20094076
Asia (FAO),,2018,20519636
Asia (FAO),,2019,20733872
Asia (FAO),,2020,20918592
Asia (FAO),,2021,20897864
Asia (FAO),,2022,21229440
Benin,BEN,1961,30000
Benin,BEN,1962,30000
Benin,BEN,1963,30000
Benin,BEN,1964,30000
Benin,BEN,1965,30000
Benin,BEN,1966,30000
Benin,BEN,1967,30000
Benin,BEN,1968,30000
Benin,BEN,1969,30000
Benin,BEN,1970,30000
Benin,BEN,1971,30000
Benin,BEN,1972,30000
Benin,BEN,1973,30000
Benin,BEN,1974,30000
Benin,BEN,1975,30000
Benin,BEN,1976,30000
Benin,BEN,1977,30000
Benin,BEN,1978,30000
Benin,BEN,1979,30000
Benin,BEN,1980,30000
Benin,BEN,1981,30000
Benin,BEN,1982,30000
Benin,BEN,1983,30000
Benin,BEN,1984,30000
Benin,BEN,1985,24000
Benin,BEN,1986,24000
Benin,BEN,1987,24000
Benin,BEN,1988,24000
Benin,BEN,1989,18000
Benin,BEN,1990,18000
Benin,BEN,1991,15000
Benin,BEN,1992,15000
Benin,BEN,1993,15000
Benin,BEN,1994,15000
Benin,BEN,1995,18000
Benin,BEN,1996,18000
Benin,BEN,1997,19000
Benin,BEN,1998,20000
Benin,BEN,1999,20000
Benin,BEN,2000,21000
Benin,BEN,2001,18000
Benin,BEN,2002,18000
Benin,BEN,2003,20000
Benin,BEN,2004,21000
Benin,BEN,2005,22000
Benin,BEN,2006,22000
Benin,BEN,2007,23000
Benin,BEN,2008,24000
Benin,BEN,2009,25000
Benin,BEN,2010,26000
Benin,BEN,2011,29000
Benin,BEN,2012,32000
Benin,BEN,2013,36000
Benin,BEN,2014,36272
Benin,BEN,2015,34627
Benin,BEN,2016,35105
Benin,BEN,2017,34956
Benin,BEN,2018,35552
Benin,BEN,2019,35754
Benin,BEN,2020,37071
Benin,BEN,2021,39559
Benin,BEN,2022,41126
Brazil,BRA,1961,2000
Brazil,BRA,1962,2300
Brazil,BRA,1963,2400
Brazil,BRA,1964,2900
Brazil,BRA,1965,4000
Brazil,BRA,1966,5200
Brazil,BRA,1967,4600
Brazil,BRA,1968,4900
Brazil,BRA,1969,5500
Brazil,BRA,1970,2200
